scope,role_id,role_name,priority,kind,name,access,why,link,notes
ALL,ALL,All agents / platform,must,external-mcp,GitHub MCP Server,scoped-rw,Официальный MCP GitHub для branch/PR/issues/search/merge workflows; использовать только через allowlist и wrapper.,https://docs.github.com/en/enterprise-cloud@latest/copilot/how-tos/provide-context/use-mcp/use-the-github-mcp-server,
ALL,ALL,All agents / platform,must,external-mcp,Google MCP Toolbox for Databases,ro/nonprod-write,Безопасная общая шина к БД с connection pooling и auth handling.,https://googleapis.github.io/genai-toolbox/getting-started/introduction/,
ALL,ALL,All agents / platform,must,external-mcp,Linear MCP,scoped-rw,"Официальный MCP для поиска/создания/обновления issues, comments, projects и product-management объектов.",https://linear.app/docs/mcp,
ALL,ALL,All agents / platform,must,external-mcp,Playwright MCP,controlled-rw,Browser automation для smoke/E2E/OAuth flows/UX verification без скриншотной магии.,https://github.com/microsoft/playwright-mcp,
ALL,ALL,All agents / platform,must,internal-mcp,artifact-registry-mcp,rw,"Хранит и раздаёт SPEC/ADR/PLAN, review reports, test reports, rollout notes, dashboards, PR/deploy links.",,
ALL,ALL,All agents / platform,must,internal-mcp,comment-memory-mcp,rw,"Канонический журнал комментариев, summaries, decision log, @ask extraction и resume context.",,
ALL,ALL,All agents / platform,must,internal-mcp,evals-dataset-mcp,rw,"Хранит eval datasets, scored traces, regressions и golden examples для EvalsAgent.",,
ALL,ALL,All agents / platform,must,internal-mcp,github-control-mcp,scoped-rw,"Обёртка над GitHub для branch/PR/checks/deploy связки с repo allowlist, merge/deploy guardrails и audit trail.",,Поверх официального GitHub MCP и GitHub App / installation tokens.
ALL,ALL,All agents / platform,must,internal-mcp,knowledge-service-mcp,ro,"Канонический доступ к Obsidian/docs context packs, а не прямое чтение vault агентами.",,
ALL,ALL,All agents / platform,must,internal-mcp,linear-control-mcp,scoped-rw,"Единая точка записи в Linear: статусы, комментарии, agent sessions, externalUrls, allowed transitions и reason codes.",,Поверх официального Linear MCP; должен уважать твою state machine и @ask.
ALL,ALL,All agents / platform,must,internal-mcp,migration-control-mcp,nonprod-write/prod-read,Dry-run/backfill/chunking/checksum/reconciliation/rate-limit слой для миграций и data changes.,,
ALL,ALL,All agents / platform,must,internal-mcp,observability-bridge-mcp,ro,"Нормализует деплой/релиз/ошибки/alerts/trace lookup поверх Sentry, Datadog и иных систем, чтобы агент видел один API.",,
